OBJECTID,HASTUS,DESCRIPTION,STREETNAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT_Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT,geo_shape,geo_point_2d
18284,11186,Bonney Avenue - 21,Bonney Avenue,Sandgate Road,504572.1,6966223.3,-27.427406,153.046259,Clayfield,2 - Intermediate,Y,Easy,Easy,Medium,2017-05-15T12:00:00+10:00,"{""coordinates"": [153.04626503687066, -27.427393446159012], ""type"": ""Point""}","-27.427393446159012, 153.04626503687066"
18285,11187,Bonney Avenue - 21,Bonney Avenue,Sandgate Road,504557.6,6966227.2,-27.427371,153.046112,Clayfield,2 - Intermediate,Y,Easy,Easy,Easy,2018-07-12T12:00:00+10:00,"{""coordinates"": [153.0461180374375, -27.427358446179166], ""type"": ""Point""}","-27.427358446179166, 153.0461180374375"
18286,11188,Hutton Street - 21,Sandgate Road,Hutton Street,504648.5,6966155.2,-27.42802,153.047032,Clayfield,2 - Intermediate,N,Medium,Easy,Hard,,"{""coordinates"": [153.04703803711232, -27.428007445660064], ""type"": ""Point""}","-27.428007445660064, 153.04703803711232"
18287,11189,Hutton Street - 21,Sandgate Road,Hutton Road,504631.9,6966140.4,-27.428155,153.046864,Albion,2 - Intermediate,N,Hard,Easy,Easy,,"{""coordinates"": [153.04687003729447, -27.42814244617458], ""type"": ""Point""}","-27.42814244617458, 153.04687003729447"
18288,11190,Camden Street - 20,Sandgate Road,Camden Street,504330.8,6966097.8,-27.42854,153.043818,Albion,2 - Intermediate,Y,Easy,Medium,Easy,2018-07-18T12:00:00+10:00,"{""coordinates"": [153.0438240373024, -27.4285274452946], ""type"": ""Point""}","-27.4285274452946, 153.0438240373024"
18289,11191,Camden Street - 20,Sandgate Road,Frodsham Road,504266.1,6966064.3,-27.428843,153.043164,Albion,2 - Intermediate,N,Hard,Easy,Easy,,"{""coordinates"": [153.04317003749102, -27.428830445274254], ""type"": ""Point""}","-27.428830445274254, 153.04317003749102"
18290,11192,Albion Central - 19,Abbotsford Road,Lever Street,504129.4,6965982.4,-27.429582,153.041781,Albion,3 - Regular with seat,Y,Easy,Easy,Easy,2016-05-24T12:00:00+10:00,"{""coordinates"": [153.04178703739632, -27.42956944513966], ""type"": ""Point""}","-27.42956944513966, 153.04178703739632"
18291,11193,Albion Central - 19,Sandgate Road,Lever Street,504126,6965908,-27.430254,153.041746,Albion,3 - Regular with seat,Y,Easy,Easy,Easy,2017-11-01T11:00:00+10:00,"{""coordinates"": [153.04175203754698, -27.43024144514426], ""type"": ""Point""}","-27.43024144514426, 153.04175203754698"
18292,11194,Cremorne Rd,Gympie Road,Howell Road,503152,6968693.7,-27.405107,153.031884,Kedron,1 - Premium,Y,Easy,Easy,Easy,2023-03-20T11:00:00+10:00,"{""coordinates"": [153.03189004144082, -27.405094444773496], ""type"": ""Point""}","-27.405094444773496, 153.03189004144082"
18293,11195,Old Cleveland Rd at Barbeque St,Old Cleveland Road,Barbecue Road,513042.9,6957631.9,-27.504915,153.132055,Belmont,4 - Regular,N,Hard,Hard,Hard,,"{""coordinates"": [153.13206101800975, -27.50490245514318], ""type"": ""Point""}","-27.50490245514318, 153.13206101800975"
18294,11196,Crosby Road - 18,Crosby Road,Dover Street,504320.1,6965702.7,-27.432107,153.043711,Albion,3 - Regular with seat,Y,Easy,Easy,Easy,2016-06-21T12:00:00+10:00,"{""coordinates"": [153.04371703732562, -27.432094445503637], ""type"": ""Point""}","-27.432094445503637, 153.04371703732562"
