OBJECTID,HASTUS,DESCRIPTION,STREETNAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT_Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT,geo_shape,geo_point_2d
12620,1,Herschel St app Nth Quay (r) (Stop 1),Herschel Street,North Street,501885,6961746,-27.467834,153.019079,Brisbane City,4 - Regular,N,Hard,Easy,Easy,,"{""coordinates"": [153.01908503474468, -27.467821443901208], ""type"": ""Point""}","-27.467821443901208, 153.01908503474468"
12621,2,Herschel St app Nth Quay (Stop 2),North Quay,North Street,501851.9,6961717.1,-27.468095,153.018744,Brisbane City,3 - Regular with seat,N,Hard,Easy,Easy,,"{""coordinates"": [153.01875003477497, -27.468082443464084], ""type"": ""Point""}","-27.468082443464084, 153.01875003477497"
12622,3,Turbot St F/S Albert St (Stop 3),Turbot Street,Albert Street,502311.3,6961837.3,-27.467009,153.023393,Brisbane City,2 - Intermediate,N,Hard,Easy,Easy,,"{""coordinates"": [153.0233990345635, -27.466996444119367], ""type"": ""Point""}","-27.466996444119367, 153.0233990345635"
12623,4,Turbot St F/S Wharf St (Stop 4),Turbot Street,Wharf Street,502805.7,6962247.3,-27.463306,153.028396,Spring Hill,2 - Intermediate,Y,Easy,Easy,Medium,2018-02-06T11:00:00+10:00,"{""coordinates"": [153.02840203424464, -27.463293444141957], ""type"": ""Point""}","-27.463293444141957, 153.02840203424464"
12624,5,Ann Street F/S Orient Hotel (Stop 5),Ann Street,Queen Street,503022.1,6962290.4,-27.462917,153.030586,Brisbane City,3 - Regular with seat,Y,Medium,Medium,Hard,,"{""coordinates"": [153.03059203468956, -27.46290444451384], ""type"": ""Point""}","-27.46290444451384, 153.03059203468956"
12625,6,Ann St app Wharf St (Stop 6),Ann Street,Creek Street,502873,6962160.4,-27.464091,153.029078,Brisbane City,2 - Intermediate,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.0290840340617, -27.464078444917913], ""type"": ""Point""}","-27.464078444917913, 153.0290840340617"
12626,7,Ann St at Anzac Square,Ann Street,Creek Street,502618.4,6961939.2,-27.466088,153.026501,Brisbane City,2 - Intermediate,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02650703493572, -27.46607544403324], ""type"": ""Point""}","-27.46607544403324, 153.02650703493572"
12627,8,Central Ann Street Stop 8,Ann Street,Edward Street,502569.1,6961895,-27.466487,153.026002,Brisbane City,2 - Intermediate,Y,Easy,Medium,Easy,2018-03-14T11:00:00+10:00,"{""coordinates"": [153.0260080347869, -27.466474444461085], ""type"": ""Point""}","-27.466474444461085, 153.0260080347869"
12628,9,Ann St aT KGS,Ann Street,Edward Street,502466.1,6961808,-27.467273,153.02496,Brisbane City,3 - Regular with seat,Y,Easy,Medium,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.0249660349732, -27.4672604441594], ""type"": ""Point""}","-27.4672604441594, 153.0249660349732"
12629,12,Central Ann Street Stop 6a,Creek Street,Creek Street,502701.6,6962010.6,-27.465444,153.027343,Brisbane City,2 - Intermediate,Y,Easy,Medium,Easy,2018-05-23T12:00:00+10:00,"{""coordinates"": [153.02734903471293, -27.4654314445142], ""type"": ""Point""}","-27.4654314445142, 153.02734903471293"
12630,14,Ann St @ City Hall Stop 12,Adelaide Street,Roma Street,502262.7,6961634,-27.468844,153.022902,Brisbane City,2 - Intermediate,Y,Easy,Medium,Medium,2023-04-19T12:00:00+10:00,"{""coordinates"": [153.0229080341987, -27.46883144423914], ""type"": ""Point""}","-27.46883144423914, 153.0229080341987"
12631,17,Adelaide St f/s George St (Stop 17),George Street,Pedestrian Street,502271.7,6961511.4,-27.469951,153.022993,Brisbane City,2 - Intermediate,Y,Hard,Easy,Easy,,"{""coordinates"": [153.02299903465973, -27.469938444075243], ""type"": ""Point""}","-27.469938444075243, 153.02299903465973"
12632,18,Adelaide St at City Hall (Stop 18),Adelaide Street,George Street,502293.9,6961530.7,-27.469777,153.023218,Brisbane City,2 - Intermediate,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.0232240349207, -27.469764443732394], ""type"": ""Point""}","-27.469764443732394, 153.0232240349207"
12633,19,Adelaide St at City Hall,Adelaide Street,Albert Street,502346,6961572,-27.469404,153.023745,Brisbane City,1 - Premium,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02375103411526, -27.469391443881964], ""type"": ""Point""}","-27.469391443881964, 153.02375103411526"
12634,20,Adelaide St at City Hall,Adelaide Street,Albert Street,502393,6961615,-27.469016,153.024221,Brisbane City,2 - Intermediate,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02422703471493, -27.469003443664985], ""type"": ""Point""}","-27.469003443664985, 153.02422703471493"
12635,21,Adelaide St @ Res Bank (Stop 21),Adelaide Street,Albert Street,502452.9,6961669,-27.468528,153.024827,Brisbane City,2 - Intermediate,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02483303407485, -27.46851544453369], ""type"": ""Point""}","-27.46851544453369, 153.02483303407485"
12636,22,Adelaide St f/s Res Bank (Stop 22),Adelaide Street,Albert Street,502469.6,6961683.5,-27.468397,153.024996,Brisbane City,2 - Intermediate,Y,Easy,Hard,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02500203470217, -27.46838444435099], ""type"": ""Point""}","-27.46838444435099, 153.02500203470217"
12637,23,Adelaide St opp DJ's (Stop 23),Adelaide Street,Edward Street,502521.6,6961728.9,-27.467987,153.025522,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02552803409512, -27.46797444388623], ""type"": ""Point""}","-27.46797444388623, 153.02552803409512"
12638,24,Adelaide St app Edward St,Adelaide Street,Edward Street,502538.1,6961743.4,-27.467856,153.025689,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Medium,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.0256950341143, -27.467843444122416], ""type"": ""Point""}","-27.467843444122416, 153.0256950341143"
12639,25,Adelaide St F/S Edward St (Stop 25),Adelaide Street,Edward Street,502609.5,6961807.2,-27.46728,153.026411,Brisbane City,3 - Regular with seat,Y,Medium,Easy,Easy,,"{""coordinates"": [153.02641703408943, -27.467267444219647], ""type"": ""Point""}","-27.467267444219647, 153.02641703408943"
12640,26,Adelaide Street @ Broadway,Adelaide Street,Edward Street,502620.8,6961817,-27.467191,153.026526,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.0265320339526, -27.467178444285754], ""type"": ""Point""}","-27.467178444285754, 153.0265320339526"
12641,27,Adelaide St F/S Creek St,Adelaide Street,Creek Street,502785.3,6961960.1,-27.465899,153.02819,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.0281960347199, -27.465886444641807], ""type"": ""Point""}","-27.465886444641807, 153.0281960347199"
12642,28,Adelaide St at app Hutton L,Adelaide Street,Hutton Lane,502808.6,6961980.2,-27.465718,153.028426,Brisbane City,3 - Regular with seat,Y,Easy,Medium,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02843203465753, -27.465705444092446], ""type"": ""Point""}","-27.465705444092446, 153.02843203465753"
12643,29,Adelaide St F/S Wharf St (Stop 29),Adelaide Street,Wharf Street,502941,6962095,-27.464681,153.029766,Brisbane City,2 - Intermediate,Y,Medium,Easy,Hard,,"{""coordinates"": [153.0297720344687, -27.46466844439995], ""type"": ""Point""}","-27.46466844439995, 153.0297720344687"
12644,30,Adelaide St @ Macrossan St (St 30),Adelaide Street,Macrossan,503139,6962293.8,-27.462886,153.031769,Brisbane City,3 - Regular with seat,Y,Hard,Easy,Easy,,"{""coordinates"": [153.03177503430712, -27.46287344490197], ""type"": ""Point""}","-27.46287344490197, 153.03177503430712"
12645,31,Creek Street Stop 149a,Creek Street,Adelaide Street,502761.3,6961901.5,-27.466428,153.027948,Brisbane City,4 - Regular,Y,Easy,Easy,Easy,2018-05-23T12:00:00+10:00,"{""coordinates"": [153.02795403386165, -27.466415444453265], ""type"": ""Point""}","-27.466415444453265, 153.02795403386165"
12646,32,Cathedral - Adelaide St Stop 32,Adelaide Street,Wharf Street,503008.5,6962132,-27.464347,153.030449,Brisbane City,4 - Regular,Y,Easy,Easy,Easy,2023-04-21T12:00:00+10:00,"{""coordinates"": [153.0304550345514, -27.464334444241306], ""type"": ""Point""}","-27.464334444241306, 153.0304550345514"
12647,33,Adelaide St app Wharf St (Stop 33),Adelaide Street,Wharf Street,502937.5,6962073.5,-27.464875,153.029731,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Easy,2017-02-06T11:00:00+10:00,"{""coordinates"": [153.02973703431888, -27.464862444537946], ""type"": ""Point""}","-27.464862444537946, 153.02973703431888"
12648,35,Adelaide St app Creek St (Stop 35),Adelaide Street,Creek Street,502781.8,6961938.6,-27.466093,153.028155,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Easy,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.02816103446435, -27.466080444351597], ""type"": ""Point""}","-27.466080444351597, 153.02816103446435"
12649,36,Adelaide St op Anzac Sq (r) (Stop 36),Adelaide Street,Edward Street,502666.1,6961833.9,-27.467039,153.026984,Brisbane City,3 - Regular with seat,Y,Medium,Easy,Medium,,"{""coordinates"": [153.02699003469903, -27.46702644411534], ""type"": ""Point""}","-27.46702644411534, 153.02699003469903"
12650,37,Adelaide St op Anzac Sq (r) (Stop 37),Adelaide Street,Edward Street,502632.1,6961803.3,-27.467315,153.026641,Brisbane City,3 - Regular with seat,Y,Medium,Easy,Easy,,"{""coordinates"": [153.0266470342107, -27.467302444392008], ""type"": ""Point""}","-27.467302444392008, 153.0266470342107"
12651,39,Adelaide St Stop 39 at David Jones,Adelaide Street,Edward Street,502537.3,6961726.7,-27.468007,153.025681,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Easy,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.02568703478724, -27.46799444417389], ""type"": ""Point""}","-27.46799444417389, 153.02568703478724"
12652,40,Adelaide St at Broadway (Stop 40),Adelaide Street,Edward Street,502516.9,6961708.9,-27.468168,153.025474,Brisbane City,3 - Regular with seat,Y,Easy,Medium,Easy,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.02548003476755, -27.46815544403693], ""type"": ""Point""}","-27.46815544403693, 153.02548003476755"
12653,42,Adelaide St f\s Albert St (Stop 42),Adelaide Street,Albert Street,502441.6,6961643.3,-27.46876,153.024712,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02471803398387, -27.468747443713063], ""type"": ""Point""}","-27.468747443713063, 153.02471803398387"
12654,43,Adelaide St opp City Hall (Stop 43),Adelaide Street,Albert Street,502392.9,6961601,-27.469142,153.02422,Brisbane City,2 - Intermediate,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.0242260339059, -27.469129443887038], ""type"": ""Point""}","-27.469129443887038, 153.0242260339059"
12655,44,Adelaide St opp City Hall (Stop 44),Adelaide Street,Albert Street,502371.5,6961582.3,-27.469311,153.024003,Brisbane City,3 - Regular with seat,Y,Medium,Easy,Easy,,"{""coordinates"": [153.02400903441304, -27.469298443881794], ""type"": ""Point""}","-27.469298443881794, 153.02400903441304"
12656,45,Adelaide St opp City Hall,Adelaide Street,George Street,502323.5,6961540.5,-27.469688,153.023517,Brisbane City,2 - Intermediate,Y,Easy,Medium,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.0235230344761, -27.469675444420993], ""type"": ""Point""}","-27.469675444420993, 153.0235230344761"
12657,46,Adelaide St opp City Plaza (Stop 46),Adelaide Street,George Street,502307,6961523,-27.469846,153.02335,Brisbane City,2 - Intermediate,Y,Easy,Easy,Easy,2017-09-26T12:00:00+10:00,"{""coordinates"": [153.02335603481475, -27.46983344426404], ""type"": ""Point""}","-27.46983344426404, 153.02335603481475"
12658,47,Adelaide St app George St (Stop 47),Adelaide Street,George Street,502281.9,6961504.2,-27.470016,153.023096,Brisbane City,3 - Regular with seat,Y,Medium,Medium,Medium,,"{""coordinates"": [153.023102034617, -27.47000344390958], ""type"": ""Point""}","-27.47000344390958, 153.023102034617"
12659,49,Adelaide St  Stop 31  near Macrossan,Adelaide Street,Adelaide Street,503135.6,6962260.2,-27.463189,153.031735,Brisbane City,4 - Regular,N,Hard,Hard,Hard,,"{""coordinates"": [153.03174103394764, -27.46317644489197], ""type"": ""Point""}","-27.46317644489197, 153.03174103394764"
12660,50,Mary Street Stop 50,Mary Street,ALBERT Street,502642.5,6961221.1,-27.472571,153.026746,Brisbane City,3 - Regular with seat,Y,Easy,Medium,Easy,2017-01-24T11:00:00+10:00,"{""coordinates"": [153.02675203329085, -27.472558444529895], ""type"": ""Point""}","-27.472558444529895, 153.02675203329085"
12661,51,Charlotte Street Stop 51,Charlotte Street,ALBERT Street,502687.3,6961404.8,-27.470912,153.0272,Brisbane City,4 - Regular,Y,Easy,Easy,Medium,2017-01-23T11:00:00+10:00,"{""coordinates"": [153.02720603422287, -27.470899444226955], ""type"": ""Point""}","-27.470899444226955, 153.02720603422287"
12662,52,Charlotte Street Stop 52,Charlotte Street,ALBERT Street,502723.5,6961437.3,-27.470619,153.027566,Brisbane City,4 - Regular,Y,Easy,Easy,Medium,2017-01-24T11:00:00+10:00,"{""coordinates"": [153.02757203340514, -27.47060644478039], ""type"": ""Point""}","-27.47060644478039, 153.02757203340514"
12663,56,Queen St F/S Edward St (Stop 56),Queen Street,Edward Street,502712.5,6961745,-27.467841,153.027454,Brisbane City,3 - Regular with seat,Y,Easy,Medium,Easy,2023-04-19T12:00:00+10:00,"{""coordinates"": [153.0274600343553, -27.467828444268697], ""type"": ""Point""}","-27.467828444268697, 153.0274600343553"
12664,57,Queen St F/S Edward St (Stop 57),Queen Street,Edward Street,502720.6,6961752,-27.467778,153.027536,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Easy,2023-02-20T11:00:00+10:00,"{""coordinates"": [153.0275420338034, -27.467765444303247], ""type"": ""Point""}","-27.467765444303247, 153.0275420338034"
12665,58,Queen St F/S Ped Crossing (Stop 58),Queen Street,Creek Street,502763,6961788.7,-27.467447,153.027965,Brisbane City,2 - Intermediate,Y,Easy,Medium,Easy,2023-04-20T12:00:00+10:00,"{""coordinates"": [153.0279710343987, -27.46743444413464], ""type"": ""Point""}","-27.46743444413464, 153.0279710343987"
12666,59,Queen St app Creek St (Stop 59),Queen Street,Creek Street,502793.1,6961815,-27.467209,153.02827,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Medium,2023-04-19T12:00:00+10:00,"{""coordinates"": [153.02827603432715, -27.467196444431085], ""type"": ""Point""}","-27.467196444431085, 153.02827603432715"
12667,60,Queen St F/S Creek St (Stop 60),Queen Street,Creek Street,502853.8,6961867.9,-27.466731,153.028884,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Medium,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.02889003469926, -27.466718444273695], ""type"": ""Point""}","-27.466718444273695, 153.02889003469926"
12668,61,Queen St app Wharf St,Queen Street,Wharf Street,502940.8,6961943.7,-27.466047,153.029764,Brisbane City,3 - Regular with seat,Y,Easy,Medium,Easy,2017-03-31T12:00:00+10:00,"{""coordinates"": [153.02977003389188, -27.466034444537033], ""type"": ""Point""}","-27.466034444537033, 153.02977003389188"
12669,62,Eagle St f/s Creek St (Stop 62),Eagle Street,Elizabeth Street,502958.4,6961822.5,-27.467141,153.029943,Brisbane City,4 - Regular,N,Hard,Hard,Hard,,"{""coordinates"": [153.02994903361068, -27.467128444579448], ""type"": ""Point""}","-27.467128444579448, 153.02994903361068"
12670,63,Eagle St app Eagle Lane (Stop 63),Eagle Street,Queen Street,502963.1,6961844.3,-27.466944,153.02999,Brisbane City,2 - Intermediate,Y,Easy,Medium,Medium,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.02999603404402, -27.46693144457506], ""type"": ""Point""}","-27.46693144457506, 153.02999603404402"
12671,64,Eagle St spp Eagle Lane (Stop 64),Eagle Street,Queen Street,502975.1,6961890.9,-27.466524,153.030112,Brisbane City,3 - Regular with seat,Y,Easy,Medium,Easy,2023-04-20T12:00:00+10:00,"{""coordinates"": [153.0301180337318, -27.466511445055843], ""type"": ""Point""}","-27.466511445055843, 153.0301180337318"
12672,65,Eagle St app Queen St (Stop 65),Queen Street,Queen Street,502981,6961916.1,-27.466296,153.030171,Brisbane City,3 - Regular with seat,Y,Easy,Medium,Easy,2023-04-27T12:00:00+10:00,"{""coordinates"": [153.03017703395147, -27.46628344476354], ""type"": ""Point""}","-27.46628344476354, 153.03017703395147"
12673,66,Queen St app Adelaide St (Stop 66),Queen Street,Adelaide Street,503096.8,6962185.4,-27.463865,153.031342,Brisbane City,2 - Intermediate,N,Hard,Easy,Easy,,"{""coordinates"": [153.03134803427324, -27.463852444639333], ""type"": ""Point""}","-27.463852444639333, 153.03134803427324"
12674,67,Queen St app Ann St (Orient) (St 67),Queen Street,Ann Street,503071.8,6962301.5,-27.462816,153.031089,Brisbane City,3 - Regular with seat,Y,Medium,Medium,Medium,,"{""coordinates"": [153.03109503395592, -27.462803444415766], ""type"": ""Point""}","-27.462803444415766, 153.03109503395592"
12675,72,Queen St f/s Eagle Lane (stop 72),Queen Street,Eagle Lane,502925,6961911.6,-27.466337,153.029604,Brisbane City,3 - Regular with seat,Y,Easy,Medium,Medium,2023-04-27T12:00:00+10:00,"{""coordinates"": [153.02961003408495, -27.466324444240122], ""type"": ""Point""}","-27.466324444240122, 153.02961003408495"
12676,74,Queen St app Creek St (Stop 74),Queen Street,Creek Street,502864.7,6961858.9,-27.466813,153.028994,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Easy,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.02900003434056, -27.46680044435467], ""type"": ""Point""}","-27.46680044435467, 153.02900003434056"
12677,76,Queen St Farside Creek St.,Queen Street,Creek Street,502785.5,6961789.8,-27.467437,153.028193,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Medium,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.028199034066, -27.4674244448256], ""type"": ""Point""}","-27.4674244448256, 153.028199034066"
12678,81,Elizabeth St F/S George St (Stop 81),Elizabeth Street,George Street,502442.4,6961359.4,-27.471323,153.024721,Brisbane City,3 - Regular with seat,Y,Easy,Medium,Easy,,"{""coordinates"": [153.02472703364342, -27.471310443938833], ""type"": ""Point""}","-27.471310443938833, 153.02472703364342"
12679,82,Elizabeth app Albert St (r) (Stop 82),Elizabeth Street,Albert Street,502518.3,6961425.5,-27.470726,153.025489,Brisbane City,3 - Regular with seat,Y,Easy,Medium,Hard,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.0254950337153, -27.470713444528464], ""type"": ""Point""}","-27.470713444528464, 153.0254950337153"
12680,83,Elizabeth St app Albert St (Stop 83),Elizabeth Street,Albert Street,502541,6961445.3,-27.470547,153.025719,Brisbane City,3 - Regular with seat,Y,Easy,Medium,Easy,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.02572503355853, -27.470534444064466], ""type"": ""Point""}","-27.470534444064466, 153.02572503355853"
12681,84,Elizabeth St F/S Albert St (Stop 84),Elizabeth Street,Albert Street,502704.8,6961588.4,-27.469255,153.027377,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Easy,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.027383034396, -27.469242444097304], ""type"": ""Point""}","-27.469242444097304, 153.027383034396"
12682,85,Elizabeth St at Shoe City (Stop 85),Elizabeth Street,Albert Street,502606.8,6961502.7,-27.470029,153.026385,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Easy,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.02639103401515, -27.470016444317274], ""type"": ""Point""}","-27.470016444317274, 153.02639103401515"
12683,87,Elizabeth St app Edward St (Stop 87),Elizabeth Street,Edward Street,502591.6,6961489.4,-27.470149,153.026231,Brisbane City,4 - Regular,Y,Easy,Medium,Medium,2023-04-21T12:00:00+10:00,"{""coordinates"": [153.02623703410237, -27.47013644453334], ""type"": ""Point""}","-27.47013644453334, 153.02623703410237"
12684,89,Elizabeth St rear of GPO (Stop 89),Albert Street,Creek Street,502840.8,6961707.2,-27.468182,153.028753,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Medium,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.02875903355587, -27.468169444845362], ""type"": ""Point""}","-27.468169444845362, 153.02875903355587"
12685,90,Charlotte St app Market St (Stop 90),Charlotte Street,Market Street,502916.4,6961607.7,-27.46908,153.029518,Brisbane City,4 - Regular,Y,Easy,Medium,Hard,2017-09-27T12:00:00+10:00,"{""coordinates"": [153.0295240340284, -27.46906744444365], ""type"": ""Point""}","-27.46906744444365, 153.0295240340284"
12686,93,Alice St app George St (Stop 95A),Alice Street,Pedestrian Street,502782.8,6961046.8,-27.474145,153.028167,Brisbane City,2 - Intermediate,Y,Easy,Medium,Hard,2017-02-06T11:00:00+10:00,"{""coordinates"": [153.02817303366314, -27.474132444553188], ""type"": ""Point""}","-27.474132444553188, 153.02817303366314"
12687,94,Margaret St (Stop 94),Margaret Street,George Street,502682.6,6961125.9,-27.473431,153.027153,Brisbane City,4 - Regular,Y,Easy,Medium,Easy,2017-11-09T11:00:00+10:00,"{""coordinates"": [153.02715903323522, -27.473418444777906], ""type"": ""Point""}","-27.473418444777906, 153.02715903323522"
12688,95,Alice Street Stop 95,Alice Street,George Street,502719.7,6960993.6,-27.474625,153.027529,Brisbane City,2 - Intermediate,Y,Easy,Medium,Easy,2017-11-09T11:00:00+10:00,"{""coordinates"": [153.02753503301957, -27.474612444604535], ""type"": ""Point""}","-27.474612444604535, 153.02753503301957"
12689,96,Alice Street Stop 96,Alice Street,Edward Street,502933.4,6961180.5,-27.472937,153.029691,Brisbane City,2 - Intermediate,Y,Easy,Easy,Easy,2017-11-09T11:00:00+10:00,"{""coordinates"": [153.0296970334412, -27.472924444700148], ""type"": ""Point""}","-27.472924444700148, 153.0296970334412"
12690,97,Margaret Street Stop 97,Margaret Street,Albert Street,502750.2,6961185.4,-27.472893,153.027837,Brisbane City,4 - Regular,Y,Easy,Easy,Medium,2017-11-09T11:00:00+10:00,"{""coordinates"": [153.0278430337948, -27.47288044411831], ""type"": ""Point""}","-27.47288044411831, 153.0278430337948"
12691,98,Margaret St F/S Edward St (Stop 98),Margaret Street,Felix Street,502973.3,6961380.2,-27.471134,153.030095,Brisbane City,4 - Regular,Y,Easy,Easy,Hard,2023-04-26T12:00:00+10:00,"{""coordinates"": [153.03010103376232, -27.471121444806762], ""type"": ""Point""}","-27.471121444806762, 153.03010103376232"
12692,99,Botanic Gardens Alice St. Stop 96A,Alice Street,Albert Street,502833.8,6961093.3,-27.473725,153.028683,Brisbane City,2 - Intermediate,Y,Easy,Medium,Easy,2017-11-09T11:00:00+10:00,"{""coordinates"": [153.02868903345257, -27.473712444132996], ""type"": ""Point""}","-27.473712444132996, 153.02868903345257"
12693,100,QUT Margaret St. Stop 94A,Margaret Street,George Street,502642.3,6961090.4,-27.473751,153.026745,Brisbane City,4 - Regular,Y,Easy,Hard,Easy,2017-11-09T11:00:00+10:00,"{""coordinates"": [153.02675103358428, -27.473738444767797], ""type"": ""Point""}","-27.473738444767797, 153.02675103358428"
12694,102,Alice Street Stop 102,Alice Street,,502719.7,6960993.6,-27.474625,153.027529,Brisbane City,2 - Intermediate,Y,Easy,Medium,Easy,2017-11-09T11:00:00+10:00,"{""coordinates"": [153.02753503301957, -27.474612444604535], ""type"": ""Point""}","-27.474612444604535, 153.02753503301957"
12695,106,North Quay @ Herschel St (St 106),North Quay,Herschel Quay,501814.9,6961723.9,-27.468033,153.018369,Brisbane City,2 - Intermediate,N,Hard,Easy,Easy,,"{""coordinates"": [153.0183750347216, -27.468020443105303], ""type"": ""Point""}","-27.468020443105303, 153.0183750347216"
12696,114,George St F/S Alice St (Stop 114),George Street,Alice Street,502628.7,6961044.1,-27.474169,153.026607,Brisbane City,2 - Intermediate,Y,Easy,Easy,Medium,2016-10-07T12:00:00+10:00,"{""coordinates"": [153.02661303327284, -27.474156444271117], ""type"": ""Point""}","-27.474156444271117, 153.02661303327284"
12697,115,George St. Stop 115,George Street,Mary Street,502514.6,6961173.1,-27.473005,153.025452,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Easy,2017-11-09T11:00:00+10:00,"{""coordinates"": [153.0254580332699, -27.47299244461732], ""type"": ""Point""}","-27.47299244461732, 153.0254580332699"
12698,116,Queen Street Mall George St. Stop 116,Queen Street,Queen Street,502351.8,6961360.5,-27.471313,153.023804,Brisbane City,2 - Intermediate,Y,Medium,Medium,Easy,2018-03-12T11:00:00+10:00,"{""coordinates"": [153.0238100341647, -27.47130044442804], ""type"": ""Point""}","-27.47130044442804, 153.0238100341647"
12699,117,George St app Turbot (r) (Stop 117),George Street,Turbot Street,502133.8,6961611.5,-27.469048,153.021597,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Easy,2016-10-07T12:00:00+10:00,"{""coordinates"": [153.02160303502347, -27.46903544414713], ""type"": ""Point""}","-27.46903544414713, 153.02160303502347"
12700,118,George St app Turbot St (Stop 118),George Street,Turbot Street,502120.4,6961626.9,-27.468909,153.021461,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Medium,2016-10-07T12:00:00+10:00,"{""coordinates"": [153.0214670347671, -27.468896444036957], ""type"": ""Point""}","-27.468896444036957, 153.0214670347671"
12701,119,George St F/S Tank St (Stop 119),George Street,,502002.8,6961762.4,-27.467685,153.020271,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Medium,2016-10-07T12:00:00+10:00,"{""coordinates"": [153.02027703503805, -27.467672443748313], ""type"": ""Point""}","-27.467672443748313, 153.02027703503805"
12702,120,George St app Herschel St (St 120),George Street,,501983.1,6961785.6,-27.467476,153.020072,Brisbane City,3 - Regular with seat,Y,Easy,Easy,Easy,2016-10-07T12:00:00+10:00,"{""coordinates"": [153.02007803455277, -27.467463443835857], ""type"": ""Point""}","-27.467463443835857, 153.02007803455277"
12703,121,Roma Street Stop 121,Roma Street,Makerston Street,501796.2,6961894,-27.466498,153.018179,Brisbane City,2 - Intermediate,Y,Easy,Easy,Medium,2017-11-09T11:00:00+10:00,"{""coordinates"": [153.01818503527485, -27.46648544382582], ""type"": ""Point""}","-27.46648544382582, 153.01818503527485"
12704,122,Roma St app Garrick St (Stop 122),Roma Street,Garrick Street,501751.8,6961906.6,-27.466384,153.01773,Brisbane City,2 - Intermediate,Y,Easy,Easy,Easy,2017-11-09T11:00:00+10:00,"{""coordinates"": [153.01773603556626, -27.466371443798135], ""type"": ""Point""}","-27.466371443798135, 153.01773603556626"
12705,123,George St. Stop 123,George Street,Margaret Street,502653.7,6961034.7,-27.474254,153.026861,Brisbane City,2 - Intermediate,Y,Easy,Easy,Easy,2016-06-01T12:00:00+10:00,"{""coordinates"": [153.02686703360692, -27.47424144454955], ""type"": ""Point""}","-27.47424144454955, 153.02686703360692"
12706,124,Roma Street Stop 124,Roma Street,Garrick Street,501773.5,6961924.6,-27.466221,153.01795,Brisbane City,2 - Intermediate,Y,Easy,Easy,Easy,2018-03-12T11:00:00+10:00,"{""coordinates"": [153.01795603574138, -27.4662084431931], ""type"": ""Point""}","-27.4662084431931, 153.01795603574138"
